rank,pchembl,smiles,chembl_id,assay_type,standard_type,standard_value,standard_units
1,9.52,COC(=O)C(C)(C)S(=O)(=O)c1ccc([C@@H](CO)NC(=O)c2cc3c(Cl)c(Cl)c(C)cc3n2C)cc1,CHEMBL4541133,?,IC50,0.3,nM
2,9.1,COC(=O)CS(=O)(=O)c1ccc([C@@H](CO)NC(=O)c2cc3c(Cl)c(Cl)c(C)nc3n2C)cc1,CHEMBL4536737,?,IC50,0.8,nM
3,8.8,COC(=O)C(C)S(=O)(=O)c1ccc([C@@H](C)NC(=O)c2cc3c(Cl)cc(C)cc3n2C)cc1,CHEMBL4584313,?,IC50,1.6,nM
4,8.7,Cc1cc2c(cc(C(=O)N[C@H](C)c3ccc(S(=O)(=O)CC(=O)O)cc3)n2C)c(Cl)c1Cl,CHEMBL4436264,?,IC50,2.0,nM
5,8.54,CCOC(=O)CS(=O)(=O)c1ccc([C@@H](CO)NC(=O)c2cc3c(Cl)c(Cl)c(C)cc3n2C)cc1,CHEMBL4518579,?,IC50,2.9,nM
6,8.52,Cc1cc(Cl)c2cc(C(=O)N[C@H](C)c3ccc(S(=O)(=O)CC(=O)O)cc3)n(C)c2c1,CHEMBL4467246,?,IC50,3.0,nM
7,8.52,Cc1cc2c(cc(C(=O)N[C@H](CO)c3ccc(S(=O)(=O)CC(=O)O)cc3)n2C)c(Cl)c1Cl,CHEMBL4520837,?,IC50,3.0,nM
8,8.52,Cc1cc2c(cc(C(=O)N[C@H](CO)c3ccc([S@+]([O-])CC(=O)O)cc3)n2C)c(Cl)c1Cl,CHEMBL4515492,?,IC50,3.0,nM
9,8.52,Cc1cc2c(cc(C(=O)N[C@H](CO)c3ccc([S+]([O-])CC(=O)O)cc3)n2C)c(Cl)c1Cl,CHEMBL4527607,?,IC50,3.0,nM
10,8.48,CCOC(=O)CS(=O)(=O)c1ccc([C@@H](CO)NC(=O)c2cc3c(Cl)cc(C)cc3n2C)cc1,CHEMBL4579388,?,IC50,3.3,nM
11,8.43,COC(=O)C1(S(=O)(=O)c2ccc([C@@H](C)NC(=O)c3cc4c(Cl)cc(C)cc4n3C)cc2)CCOCC1,CHEMBL4540875,?,IC50,3.7,nM
12,8.41,CCOC(=O)C(C)S(=O)(=O)c1ccc([C@@H](C)NC(=O)c2cc3c(Cl)cc(C)cc3n2C)cc1,CHEMBL4521661,?,IC50,3.9,nM
13,8.4,Cc1cc2c(cc(C(=O)N[C@H](CO)c3ccc(S(=O)(=O)C(C)(C)C(=O)O)cc3)n2C)c(Cl)c1Cl,CHEMBL4542437,?,IC50,4.0,nM
14,8.3,Cc1cc2c(cc(C(=O)N[C@H](C)c3ccc(S(=O)(=O)CC(=O)O)cc3)n2C)c(Cl)c1F,CHEMBL4548014,?,IC50,5.0,nM
15,8.3,Cc1cc2c(cc(C(=O)N[C@H](CO)c3ccc(S(=O)(=O)CC(=O)O)cc3)n2C)c(Cl)c1F,CHEMBL4483622,?,IC50,5.0,nM
16,8.3,Cc1cc2c(cc(C(=O)N[C@H](C)c3ccc(S(=O)(=O)C(C)(C)C(=O)O)cc3)n2C)c(Cl)c1Cl,CHEMBL4587306,?,IC50,5.0,nM
17,8.3,COC(=O)CS(=O)(=O)c1ccc([C@@H](CO)NC(=O)c2cc3c(Cl)c(Cl)c(C)cc3n2C)cc1,CHEMBL4541457,?,IC50,5.0,nM
18,8.22,CCCC(C(=O)O)S(=O)(=O)c1ccc([C@@H](C)NC(=O)c2cc3c(Cl)cc(C)cc3n2C)cc1,CHEMBL4547034,?,IC50,6.0,nM
19,8.22,Cc1cc(Cl)c2cc(C(=O)N[C@H](CO)c3ccc(S(=O)(=O)CC(=O)O)cc3)n(C)c2c1,CHEMBL4533417,?,IC50,6.0,nM
20,8.22,Cc1cc(Cl)c2cc(C(=O)N[C@H](C)c3ccc(S(=O)(=O)C4(C(=O)O)CCCC4)cc3)n(C)c2c1,CHEMBL4483483,?,IC50,6.0,nM
