step,reward_mean,reward_max,valid_rate,novelty_mean,kl_to_prior,entropy,loss,secs
18,0.4691,0.6440,1.0000,0.7882,0.0019,0.6228,-0.0062,0.9
38,0.4799,0.6194,1.0000,0.7967,0.0021,0.5985,-0.0024,1.8
58,0.4782,0.7028,1.0000,0.8046,0.0034,0.6504,-0.0026,0.9
78,0.4587,0.7201,1.0000,0.7984,0.0041,0.6509,-0.0074,0.9
98,0.4705,0.6036,1.0000,0.8069,0.0035,0.6453,-0.0018,1.7
118,0.4780,0.6106,1.0000,0.8101,0.0048,0.6855,-0.0034,1.3
138,0.4482,0.6034,1.0000,0.7954,0.0044,0.6494,-0.0075,1.5
158,0.4783,0.6644,1.0000,0.7975,0.0048,0.6838,-0.0029,1.5
178,0.4543,0.6817,1.0000,0.8138,0.0051,0.6947,-0.0038,1.2
198,0.4650,0.6759,1.0000,0.8088,0.0045,0.6691,-0.0070,1.8
218,0.4531,0.6213,1.0000,0.7981,0.0047,0.6477,-0.0015,1.8
238,0.4640,0.7041,1.0000,0.8111,0.0048,0.6896,-0.0050,1.6
258,0.4505,0.6489,1.0000,0.8062,0.0047,0.7104,-0.0054,1.6
278,0.4641,0.7236,1.0000,0.8062,0.0074,0.6857,-0.0050,1.2
298,0.4850,0.6192,1.0000,0.8081,0.0069,0.6793,-0.0033,1.2
318,0.4713,0.6640,1.0000,0.7984,0.0067,0.6806,-0.0051,1.2
338,0.4668,0.7645,1.0000,0.8049,0.0053,0.6656,-0.0028,1.8
358,0.4801,0.6648,1.0000,0.8275,0.0061,0.6882,-0.0090,1.8
378,0.4659,0.6939,1.0000,0.8132,0.0055,0.6789,-0.0097,1.8
398,0.4759,0.6207,1.0000,0.8094,0.0054,0.6610,-0.0244,1.8
418,0.4468,0.6866,1.0000,0.8088,0.0050,0.6671,-0.0083,1.8
438,0.4548,0.6841,1.0000,0.8107,0.0057,0.6775,-0.0019,1.7
458,0.4633,0.6958,1.0000,0.8051,0.0058,0.6475,-0.0040,1.8
478,0.4548,0.7256,1.0000,0.8136,0.0059,0.6612,-0.0018,1.4
498,0.4626,0.6603,1.0000,0.7983,0.0061,0.6644,-0.0019,1.8
518,0.4692,0.6362,1.0000,0.8040,0.0072,0.6929,-0.0050,1.7
538,0.4641,0.6808,1.0000,0.8021,0.0094,0.6775,-0.0022,1.1
558,0.4668,0.6820,1.0000,0.8035,0.0072,0.6752,-0.0119,1.1
578,0.4672,0.6928,1.0000,0.8059,0.0053,0.6808,-0.0056,1.6
598,0.4636,0.6461,1.0000,0.8062,0.0057,0.7104,-0.0040,1.8
618,0.4655,0.6952,1.0000,0.8045,0.0061,0.6640,-0.0058,1.5
638,0.4788,0.6666,1.0000,0.8172,0.0056,0.6556,-0.0045,1.8
658,0.4593,0.5778,1.0000,0.7957,0.0060,0.7211,-0.0082,1.8
678,0.4670,0.6626,1.0000,0.8067,0.0078,0.7111,-0.0071,1.0
698,0.4591,0.6793,1.0000,0.7987,0.0056,0.7036,-0.0070,1.8
718,0.4786,0.6579,1.0000,0.8105,0.0061,0.7008,-0.0041,1.3
738,0.4524,0.7259,1.0000,0.8027,0.0052,0.6833,-0.0087,1.8
758,0.4607,0.6699,1.0000,0.8103,0.0053,0.7167,-0.0026,1.8
778,0.4596,0.6095,1.0000,0.7975,0.0057,0.6392,-0.0045,1.7
798,0.4807,0.6902,1.0000,0.8016,0.0060,0.6825,-0.0019,1.6
818,0.4630,0.7105,1.0000,0.8025,0.0060,0.6772,-0.0018,1.3
838,0.4737,0.6468,1.0000,0.7938,0.0074,0.6956,-0.0069,1.5
858,0.4630,0.6740,1.0000,0.8161,0.0130,0.6873,-0.0059,1.4
878,0.4750,0.6552,1.0000,0.8075,0.0090,0.6843,-0.0027,1.5
898,0.4596,0.6671,1.0000,0.8077,0.0063,0.7000,-0.0093,1.8
918,0.4568,0.6130,1.0000,0.8073,0.0062,0.6777,-0.0101,1.8
938,0.4704,0.7510,1.0000,0.8098,0.0061,0.7130,-0.0027,1.7
958,0.4621,0.6316,1.0000,0.8125,0.0066,0.6633,-0.0119,1.5
978,0.4769,0.6875,1.0000,0.7993,0.0059,0.6823,-0.0071,1.8
998,0.4488,0.6505,1.0000,0.8113,0.0058,0.6773,-0.0050,1.7
